bindingId,issue,clientName,userName,location,productId,jobName,status,editUrl
6a6b13cd10ee81bc90a5e0d6,BLANK,SATO ARGOX INDIA PRIVATE LIMITED,SOWMYA,BHIWANDI,FS | LABEL | 000064,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6b13cd10ee81bc90a5e0d6
6a4f75b8643e9bb73a658bb3,BLANK,SATO ARGOX INDIA PRIVATE LIMITED,SOWMYA,BHIWANDI,FS | LABEL | 000017,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a4f75b8643e9bb73a658bb3
6a604ceb3673e2a4a935631b,BLANK,SATO ARGOX INDIA PRIVATE LIMITED,SOWMYA,BHIWANDI,FS | LABEL | 000056,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a604ceb3673e2a4a935631b
6a4f7552643e9bb73a658b54,BLANK,SAYONARA CROCKERY,KETANA,MUMBAI,FS | LABEL | 000017,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a4f7552643e9bb73a658b54
6a404876c1dbb306c28eebbb,BLANK,SHRI RAMDEV PRODUCT,HITESH KUMAR,MALAD,FS | LABEL | 000018,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a404876c1dbb306c28eebbb
6a5a00458fe74d5495fba591,BLANK,SHYAMALI'S BAKE CREATIONS LLP,SHYAMLI MANGONKAR,TALAOPLI,FS | LABEL | 000044,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5a00458fe74d5495fba591
6a59fff08fe74d5495fba550,BLANK,SHYAMALI'S BAKE CREATIONS LLP,SHYAMLI MANGONKAR,TALAOPLI,FS | LABEL | 000017,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a59fff08fe74d5495fba550
6a3e16cfae43a24b76606dc7,BLANK,SMARTSCAN SOLUTIONS,CHHAYA,GHATKOPER,FS | LABEL | 000014,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3e16cfae43a24b76606dc7
6a4041b04e1fe9d7c11370ed,BLANK,SPECTRUM PAINTS & ALLIED PRODUCTS,LAXMAN,NAVI MUMBAI,FS | LABEL | 000001,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a4041b04e1fe9d7c11370ed
6a51d8e596a68f4455bff29a,BLANK,STC INDIA PVT LTD,VIJAY,DAHISAR,FS | LABEL | 000050,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a51d8e596a68f4455bff29a
6a51d9f496a68f4455bff321,BLANK,STC INDIA PVT LTD,VIJAY,DAHISAR,FS | LABEL | 000017,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a51d9f496a68f4455bff321
6a51d96196a68f4455bff2ef,BLANK,STC INDIA PVT LTD,VIJAY,DAHISAR,FS | LABEL | 000036,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a51d96196a68f4455bff2ef
6a5a020c8fe74d5495fba800,BLANK,SUN TECHNOSOLUTION INDIA PVT.LTD.,PRAKASH,AIRLI,FS | LABEL | 000048,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5a020c8fe74d5495fba800
6a4f7192643e9bb73a658a0c,BLANK,SUN TECHNOSOLUTION INDIA PVT.LTD.,PRAKASH,AIRLI,FS | LABEL | 000048,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a4f7192643e9bb73a658a0c
6a609ff2ad70224373a0924b,BLANK,SUN TECHNOSOLUTION INDIA PVT.LTD.,PRAKASH,AIRLI,FS | LABEL | 000013,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a609ff2ad70224373a0924b
6a6c4bb56225146244b42471,BLANK,SUPER FRESH FRUITS PRIVATE LIMITED,NILESH,CRAWFORD MARKET,FS | LABEL | 000072,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6c4bb56225146244b42471
6a49aacaee893996da9aa27e,BLANK,SURI AGRO FRESH PRIVATE LIMITED,SANTOSH,NAVI MUMBAI,FS | LABEL | 000002,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49aacaee893996da9aa27e
6a54ce7eb067ad3b7355e073,BLANK,SURI AGRO FRESH PRIVATE LIMITED,SANTOSH,NAVI MUMBAI,FS | LABEL | 000031,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a54ce7eb067ad3b7355e073
6a609f39ad70224373a091cf,BLANK,TURBONET SYSTEMS PVT LTD,UTKARSHA,THANA,FS | LABEL | 000024,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a609f39ad70224373a091cf
6a5a08338fe74d5495fbafe0,BLANK,ULTRA TOOLS INDIA PRIVATE LIMITED,SHAILESH PANDE,BHIMPORE,FS | LABEL | 000017,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5a08338fe74d5495fbafe0
6a5a00c28fe74d5495fba5f5,BLANK,VARIANT LABELS & TECHNOLOGIES,DALJEET,BYCULLA,FS | LABEL | 000021,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5a00c28fe74d5495fba5f5
